id, order, scheduledStopPointRef, forAlighting, forBoarding, journeyPatternRef
113852655239465003_7,8,113852655239465003_7,1,1,113852655239465003
113852655239465003_8,9,113852655239465003_8,1,1,113852655239465003
113852655239465003_9,10,113852655239465003_9,1,1,113852655239465003
113852655239465003_10,11,113852655239465003_10,1,1,113852655239465003
113852797239465003_1,2,113852797239465003_1,1,1,113852797239465003
113852797239465003_2,3,113852797239465003_2,1,1,113852797239465003
113852797239465003_3,4,113852797239465003_3,1,1,113852797239465003
113852797239465003_4,5,113852797239465003_4,1,1,113852797239465003
113852797239465003_5,6,113852797239465003_5,1,1,113852797239465003
113852797239465003_6,7,113852797239465003_6,1,1,113852797239465003
113852797239465003_7,8,113852797239465003_7,1,1,113852797239465003
113852797239465003_8,9,113852797239465003_8,1,1,113852797239465003
113852797239465003_9,10,113852797239465003_9,1,1,113852797239465003
113852797239465003_10,11,113852797239465003_10,1,2,113852797239465003
113852917239465003_1,2,113852917239465003_1,1,1,113852917239465003
113852917239465003_2,3,113852917239465003_2,1,1,113852917239465003
113852917239465003_3,4,113852917239465003_3,1,1,113852917239465003
113852917239465003_4,5,113852917239465003_4,1,1,113852917239465003
113852917239465003_5,6,113852917239465003_5,1,1,113852917239465003
113852917239465003_6,7,113852917239465003_6,1,2,113852917239465003
113243373237158001_1,2,113243373237158001_1,1,1,113243373237158001
113243373237158001_2,3,113243373237158001_2,1,1,113243373237158001
113243373237158001_3,4,113243373237158001_3,1,1,113243373237158001
113243373237158001_4,5,113243373237158001_4,1,1,113243373237158001
113243373237158001_5,6,113243373237158001_5,1,1,113243373237158001
113243373237158001_6,7,113243373237158001_6,1,1,113243373237158001
113243373237158001_7,8,113243373237158001_7,1,1,113243373237158001
113243373237158001_8,9,113243373237158001_8,1,1,113243373237158001
113243373237158001_9,10,113243373237158001_9,1,1,113243373237158001
113243373237158001_10,11,113243373237158001_10,1,1,113243373237158001
113243373237158001_11,12,113243373237158001_11,1,1,113243373237158001
113243373237158001_12,13,113243373237158001_12,1,1,113243373237158001
113243373237158001_13,14,113243373237158001_13,1,1,113243373237158001
113243373237158001_14,15,113243373237158001_14,1,1,113243373237158001
113243373237158001_15,16,113243373237158001_15,1,1,113243373237158001
113243373237158001_16,17,113243373237158001_16,1,1,113243373237158001
113243373237158001_17,18,113243373237158001_17,1,1,113243373237158001
113243373237158001_18,19,113243373237158001_18,1,1,113243373237158001
113243373237158001_19,20,113243373237158001_19,1,1,113243373237158001
113243373237158001_20,21,113243373237158001_20,1,1,113243373237158001
113243373237158001_21,22,113243373237158001_21,1,2,113243373237158001
113243375237158001_1,2,113243375237158001_1,2,1,113243375237158001
113243375237158001_2,3,113243375237158001_2,1,1,113243375237158001
113243375237158001_3,4,113243375237158001_3,1,1,113243375237158001
113243375237158001_4,5,113243375237158001_4,1,1,113243375237158001
113243375237158001_5,6,113243375237158001_5,1,1,113243375237158001
113243375237158001_6,7,113243375237158001_6,1,1,113243375237158001
113243375237158001_7,8,113243375237158001_7,1,1,113243375237158001
113243375237158001_8,9,113243375237158001_8,1,1,113243375237158001
113243375237158001_9,10,113243375237158001_9,1,1,113243375237158001
