id, location_val
113815778239311002_1,796318.9603474926 7083666.478290312
113815778239311002_2,796482.6170944874 7083497.071101235
113815778239311002_3,796946.6157982978 7083442.918121774
113815778239311002_4,797666.040205532 7083870.751162182
113815778239311002_5,798626.8947607221 7085058.92117486
113816147239315603_1,796318.9603474926 7083666.478290312
113816147239315603_2,796482.6170944874 7083497.071101235
113816147239315603_3,796946.6157982978 7083442.918121774
113816147239315603_4,797666.040205532 7083870.751162182
113816147239315603_5,798626.8947607221 7085058.92117486
113816147239315603_6,798987.3289774705 7086204.248312558
113816147239315603_7,799769.0174143678 7087625.058195812
113816147239315603_8,800918.4423641206 7087834.077971844
113816147239315603_9,804451.4185297946 7090089.950306813
113852628239465003_1,796318.9603474926 7083666.478290312
113852628239465003_2,796482.6170944874 7083497.071101235
113852628239465003_3,796946.6157982978 7083442.918121774
113852628239465003_4,797266.4929749431 7083893.5276021045
113852628239465003_5,797653.0196558518 7083969.296183814
113852628239465003_6,798626.8947607221 7085058.92117486
113852628239465003_7,798987.3289774705 7086204.248312558
113852628239465003_8,799769.0174143678 7087625.058195812
113852628239465003_9,800918.4423641206 7087834.077971844
113852628239465003_10,804451.4185297946 7090089.950306813
113852655239465003_1,796318.9603474926 7083666.478290312
113852655239465003_2,796482.6170944874 7083497.071101235
113852655239465003_3,796946.6157982978 7083442.918121774
113852655239465003_4,797266.4929749431 7083893.5276021045
113852655239465003_5,797653.0196558518 7083969.296183814
113852655239465003_6,798626.8947607221 7085058.92117486
113852655239465003_7,798987.3289774705 7086204.248312558
113852655239465003_8,799769.0174143678 7087625.058195812
113852655239465003_9,800918.4423641206 7087834.077971844
113852655239465003_10,804451.4185297946 7090089.950306813
113852797239465003_1,796318.9603474926 7083666.478290312
113852797239465003_2,796482.6170944874 7083497.071101235
113852797239465003_3,796946.6157982978 7083442.918121774
113852797239465003_4,797266.4929749431 7083893.5276021045
113852797239465003_5,797653.0196558518 7083969.296183814
113852797239465003_6,798626.8947607221 7085058.92117486
113852797239465003_7,798987.3289774705 7086204.248312558
113852797239465003_8,799769.0174143678 7087625.058195812
113852797239465003_9,800918.4423641206 7087834.077971844
113852797239465003_10,804451.4185297946 7090089.950306813
113852917239465003_1,796318.9603474926 7083666.478290312
113852917239465003_2,796482.6170944874 7083497.071101235
113852917239465003_3,796946.6157982978 7083442.918121774
113852917239465003_4,797266.4929749431 7083893.5276021045
113852917239465003_5,797653.0196558518 7083969.296183814
113852917239465003_6,798626.8947607221 7085058.92117486
113332529237469601_1,794216.3543543501 7089759.552342872
113332529237469601_2,793736.3758273514 7089753.232015895
113332529237469601_3,793548.8318922354 7089643.826789671
113332529237469601_4,793425.0012579246 7089434.822138895
113332529237469601_5,793019.343337738 7089371.94907949
113332529237469601_6,792547.2422769628 7089288.601585403
113332529237469601_7,792303.732270425 7088954.440391193
113332529237469601_8,792443.0162360937 7088567.212182908
113332529237469601_9,792979.5788031857 7088430.210249154
113332529237469601_10,793266.7289559147 7088418.95920805
113332529237469601_11,793750.4481274254 7088423.516320214
113332529237469601_12,793845.5470218322 7088195.6765919095
113332529237469601_13,793794.5635759864 7087902.162956599
